id,title,month,year,publishTime,kind_stats,duration_seconds,viewCount,likeCount,commentCount,impressionCount
IAbX0FwX-GY,Why I Haven&#39;t Been Uploading,3,2013,2013-03-25,Shorts,363,365229,,1312,241051.14
G7Y9ban7b0U,How Much Money Does Tobuscus Make?????,5,2014,2014-05-14,Long,142,24967,630,160,106109.75
lfD7kMZKuNg,Big Channel&#39;s Starting Over???,8,2015,2015-08-05,Long,199,20549,571,92,79524.63
cRPldarzw-M,1k Subs,4,2014,2014-04-13,Long,195,16308305,1226938,94529,43869340.45
GxTVDClFXuc,MrBeast6000Subs,8,2015,2015-08-23,Long,332,246087,16990,2429,378973.98
Kgu2ApayYvI,How Much Money Do I Make?????,3,2014,2014-03-16,Shorts,250,84770,2929,497,119525.7
RywkkwO78m8,Flat Earth PROVEN By Independent Research,9,2018,2018-09-22,Long,712,24425400,711334,137631,22959876
9zFfp3gzZ88,I Hate Youtubers That Ask For Likes,8,2015,2015-08-20,Shorts,256,104983,6832,653,414682.85
rqUvnLPvbrM,Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,2,2017,2017-02-22,Long,2009,5799526,305454,26108,27547748.5
AS5CxLCWq-Q,Watching Dance Till You&#39;re Dead For 10 Hours,3,2017,2017-03-21,Shorts,36001,41577835,1973190,,85234561.75
5PCxQSMOl3o,i&#39;m really sorry,10,2017,2017-10-26,Long,207,5020906,182676,10353,14158954.92
Y74b7WlcEpk,More birds IN MINECRAFT!!,1,2013,2013-01-12,Shorts,126,508657,21805,2586,1658221.82
yyJ7xEcENNI,How Much Does Pewdiepie Make?,6,2015,2015-06-28,Shorts,233,74080,1458,152,81488
ZQZzR0DUujc,"New Optic Gaming Gear Coming To Advanced Warfare, My Thoughts",8,2015,2015-08-01,Shorts,151,13954,374,118,24977.66
9Ax56oRhcZc,Counting To 10000 In One Sitting,2,2016,2016-02-01,Shorts,12581,28634115,463400,48241,15176080.95
ZJwX2jTXWwQ,Watching It&#39;s Everyday Bro For 10 Hours Straight,6,2017,2017-06-17,Long,36011,26678886,784884,72610,14673387.3
xWcldHxHFpo,"I Counted To 100,000!",1,2017,2017-01-09,Shorts,85686,24636026,1162093,123360,30302311.98
mGIpOtncmSM,"Saying Pewdiepie 100,000 Times",11,2018,2018-11-25,Shorts,42520,21226054,1451683,173172,86814560.86
ep7S1XnuQLU,"5,000 Hype",8,2015,2015-08-11,Shorts,184,68280,1890,457,102420
t8aM4HuVLrQ,This is a block? Since when lol.,1,2013,2013-01-21,Long,52,360054,15298,3081,255638.34
vZrL_FFITgs,Subscriber Goals For 2016,2,2015,2015-02-28,Shorts,248,24379,724,392,27792.06
9CVwXBYVqVk,"Counting To 200,000 (Road To A Mil)",2,2017,2017-02-18,Long,84878,3357112,133927,19482,9668482.56
2IGxSOfsBok,I Hate Pewdiepie!!!!!,2,2014,2014-02-01,Shorts,126,2660347,220560,15901,11093646.99
bEIK5ni_Pzs,How Many People Get The Diamond Play Button?????,7,2015,2015-07-25,Shorts,236,1711032,16809,2775,4106476.8
bIZ5_L1ru2w,Funny Noob Tubing Reaction Montage!,8,2013,2013-08-16,Long,149,52419,1799,333,237458.07
v3tbnlc5cfo,Battle Pirates!,9,2013,2013-09-21,Shorts,215,35238,1612,425,135313.92
XKSJRulqDNA,Most Epic Thing In Minecraft!?!?!?!?!?!!?????,3,2013,2013-03-10,Shorts,273,188255,8126,1379,225906
anZbhN0Wh_4,How Much Does PewDiePie Make????? 2016,5,2014,2014-05-24,Long,207,155556,3085,284,194445
dPxAFqs2eYE,"Epic Ghost Multiplayer EasterEggs! (PrisonBreak, Sovereign, and Flooded)",11,2013,2013-11-17,Shorts,100,37057,1560,213,31869.02
moMJjt5KECc,Money Problems,8,2014,2014-08-20,Long,242,102688,2564,295,433343.36
HuLAAXZXIy0,This Kid Should Quit COD....,6,2014,2014-06-02,Shorts,77,35121,784,139,81129.51
NiqkH7qVW0U,100k Subs With No Videos????,4,2015,2015-04-11,Shorts,257,378886,7538,2844,1773186.48
uUIlb2rpIuY,Epic Minecraft city! (w/ download link!),4,2013,2013-04-11,Shorts,154,142709,5172,741,296834.72
yeHjsYQ076A,Remember When COD Was Fun?,4,2015,2015-04-26,Shorts,216,16312,574,145,46162.96
X7doE4h6W64,Insane Gun Sync - 7 Hours To Make,6,2015,2015-06-21,Long,134,15740,637,105,27859.8
AIytwdufwW8,MY MESSAGE TO COD YOUTUBERS (Watch till end plz),5,2015,2015-05-29,Shorts,292,18502,508,117,71232.7
56OkH6ocYZU,L0114R - Biblical Creeper Post for Post @L0114R,5,2015,2015-05-15,Long,109,16627,430,134,77315.55
zi7tZ-2PhLk,How Much Money Do You Make As An Uber Driver??????,5,2015,2015-05-31,Shorts,304,18773,370,59,30036.8
