App,Category,Size,Type,ContentRating,Genres,AndroidVersion,Reviews,Rating,Installs,Price
Socratic - Math Answers & Homework Help,EDUCATION,5.4M,Free,Everyone,Education,4.1 and up,37862,4.6,1000000,0
EasyBib: Citation Generator,EDUCATION,7.3M,Free,Everyone,Education,4.0 and up,1405,3.5,100000,0
Google Classroom,EDUCATION,Varies with device,Free,Everyone,Education,Varies with device,69498,4.2,10000000,0
ClassDojo,EDUCATION,59M,Free,Everyone,Education;Education,4.1 and up,148549,4.4,10000000,0
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,41M,Free,Everyone,Education,4.1 and up,84311,4.4,5000000,0
Quizlet: Learn Languages & Vocab with Flashcards,EDUCATION,Varies with device,Free,Everyone,Education,Varies with device,211856,4.6,10000000,0
"busuu: Learn Languages - Spanish, English & More",EDUCATION,21M,Free,Everyone 10+,Education,5.0 and up,206532,4.3,10000000,0
Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,76M,Free,Everyone,Education;Education,5.0 and up,172508,4.5,5000000,0
SoloLearn: Learn to Code for Free,EDUCATION,7.6M,Free,Teen,Education,4.0.3 and up,256079,4.8,1000000,0
Kids Learn Languages by Mondly,EDUCATION,Varies with device,Free,Everyone,Education;Education,4.1 and up,2078,4.4,100000,0
Blinkist - Nonfiction Books,EDUCATION,13M,Free,Everyone,Education,4.1 and up,16103,4.1,1000000,0
Sago Mini Hat Maker,EDUCATION,63M,Paid,Everyone,Education;Pretend Play,4.0.3 and up,11,4.9,1000,3.99
Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,44M,Paid,Everyone,Education;Education,4.1 and up,21,4.7,1000,5.99
Toca Life: City,EDUCATION,24M,Paid,Everyone,Education;Pretend Play,4.4 and up,31085,4.7,500000,3.99
Toca Life: Hospital,EDUCATION,24M,Paid,Everyone,Education;Pretend Play,4.4 and up,3528,4.7,100000,3.99
Netflix,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,5456208,4.4,100000000,0
Complete Spanish Movies,ENTERTAINMENT,4.5M,Free,Everyone,Entertainment,4.0.3 and up,11656,4,1000000,0
Pluto TV - It’s Free TV,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,28948,4.2,1000000,0
Tubi TV - Free Movies & TV,ENTERTAINMENT,11M,Free,Teen,Entertainment,4.1 and up,296771,4.3,10000000,0
YouTube Kids,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment;Music & Video,4.1 and up,470089,4.5,50000000,0
Mobile TV,ENTERTAINMENT,4.6M,Free,Everyone,Entertainment,5.0 and up,10939,3.5,10000000,0
TV+,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment,Varies with device,98509,4.2,5000000,0
Digital TV,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment,6.0 and up,5241,3.1,5000000,0
Motorola Spotlight Player™,ENTERTAINMENT,3.3M,Free,Everyone,Entertainment,4.2 and up,22508,4.6,10000000,0
Vigo Lite,ENTERTAINMENT,6.5M,Free,Teen,Entertainment,4.0.3 and up,10291,4.2,5000000,0
Google Play Games,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,7165362,4.3,1000000000,0
Hotstar,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,4885646,4.3,100000000,0
"Peers.TV: broadcast TV channels First, Match TV, TNT ...",ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,141980,4.1,5000000,0
The green alien dance,ENTERTAINMENT,12M,Free,Everyone,Entertainment,4.0 and up,6979,3.8,1000000,0
Spectrum TV,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,46618,3.4,5000000,0
H TV,ENTERTAINMENT,5.6M,Free,Everyone,Entertainment,2.3.3 and up,103078,4.3,5000000,0
StarTimes - Live International Champions Cup,ENTERTAINMENT,9.7M,Free,Everyone,Entertainment,4.0.3 and up,17682,4.4,1000000,0
Cinematic Cinematic,ENTERTAINMENT,15M,Free,Mature 17+,Entertainment,4.1 and up,37000,4.4,1000000,0
MEGOGO - Cinema and TV,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment,Varies with device,175528,4,10000000,0
Talking Angela,ENTERTAINMENT,52M,Free,Everyone,Entertainment,4.1 and up,1828284,3.7,100000000,0
DStv Now,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,34923,3.9,5000000,0
ivi - movies and TV shows in HD,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,4.2 and up,684116,4.5,10000000,0
Radio Javan,ENTERTAINMENT,4.5M,Free,Everyone,Entertainment,4.2 and up,46916,4.4,1000000,0
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,407698,4.3,10000000,0
Talking Ginger 2,ENTERTAINMENT,49M,Free,Everyone,Entertainment,4.1 and up,702975,4.2,50000000,0
Girly Lock Screen Wallpaper with Quotes,ENTERTAINMENT,18M,Free,Everyone,Entertainment,4.1 and up,32458,4.2,5000000,0
No.Draw - Colors by Number 2018,ENTERTAINMENT,13M,Free,Everyone,Entertainment;Brain Games,4.1 and up,235496,4.5,10000000,0
🔥 Football Wallpapers 4K | Full HD Backgrounds 😍,ENTERTAINMENT,4.0M,Free,Everyone,Entertainment,4.0.3 and up,11661,4.7,1000000,0
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,16M,Free,Everyone,Entertainment,4.4 and up,653008,4.5,10000000,0
Low Poly – Puzzle art game,ENTERTAINMENT,17M,Free,Everyone,Entertainment;Brain Games,4.1 and up,23063,4.5,1000000,0
BBC Media Player,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment,Varies with device,87384,3.4,10000000,0
Amazon Prime Video,ENTERTAINMENT,24M,Free,Teen,Entertainment,4.1 and up,411683,4.2,50000000,0
Adult Glitter Color by Number Book - Sandbox Pages,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment;Creativity,4.4 and up,8918,4.3,1000000,0
IMDb Movies & TV,ENTERTAINMENT,12M,Free,Teen,Entertainment,Varies with device,501498,4.2,100000000,0
Twitch: Livestream Multiplayer Games & Esports,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,2133296,4.6,50000000,0
Ziggo GO,ENTERTAINMENT,78M,Free,Teen,Entertainment,4.3 and up,29690,4.1,1000000,0
YouTube Gaming,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,4.1 and up,130549,4.2,5000000,0
PlayStation App,ENTERTAINMENT,25M,Free,Everyone,Entertainment,4.1 and up,613059,4.2,50000000,0
Talking Ben the Dog,ENTERTAINMENT,57M,Free,Everyone,Entertainment,4.1 and up,1633682,4.3,100000000,0
"Red Bull TV: Live Sports, Music & Entertainment",ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,42050,4.4,1000000,0
Trailer Addict Movie Trailers,ENTERTAINMENT,9.1M,Free,Teen,Entertainment,4.2 and up,2646,3.9,100000,0
Cinemark Theatres,ENTERTAINMENT,39M,Free,Teen,Entertainment,5.0 and up,21867,4.1,1000000,0
Regal Cinemas,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment,Varies with device,32732,4.3,1000000,0
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,16M,Free,Everyone,Entertainment,4.4 and up,653008,4.5,10000000,0
Fandango Movies - Times + Tickets,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,243747,4.6,10000000,0
Marcus Theatres,ENTERTAINMENT,8.5M,Free,Everyone,Entertainment,6.0 and up,2639,3.6,100000,0
Harkins Theatres,ENTERTAINMENT,12M,Free,Everyone,Entertainment,4.1 and up,1511,4.3,100000,0
AMC Theatres,ENTERTAINMENT,72M,Free,Everyone,Entertainment,5.0 and up,44550,4.3,1000000,0
IMDb Movies & TV,ENTERTAINMENT,12M,Free,Teen,Entertainment,Varies with device,501497,4.2,100000000,0
Netflix,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,5456208,4.4,100000000,0
Food Network,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,7813,4.1,500000,0
Cooking Channel,ENTERTAINMENT,16M,Free,Teen,Entertainment,Varies with device,1033,4.1,100000,0
Animal Planet GO,ENTERTAINMENT,9.6M,Free,Teen,Entertainment,4.1 and up,2442,4.2,100000,0
"VRV: Anime, game videos & more",ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,15254,3.9,1000000,0
DramaFever: Stream Asian Drama Shows & Movies,ENTERTAINMENT,22M,Free,Teen,Entertainment,4.4 and up,155234,4.2,1000000,0
Crunchyroll - Everything Anime,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,310066,3.7,10000000,0
Investigation Discovery GO,ENTERTAINMENT,13M,Free,Teen,Entertainment,4.1 and up,12216,4.5,1000000,0
Crackle - Free TV & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,388089,3.7,10000000,0
CBS - Full Episodes & Live TV,ENTERTAINMENT,12M,Free,Teen,Entertainment,4.1 and up,92058,3.8,10000000,0
STARZ,ENTERTAINMENT,Varies with device,Free,Mature 17+,Entertainment,Varies with device,88185,4.3,10000000,0
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,23M,Free,Everyone,Entertainment,4.4 and up,493,3,50000,0
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,20M,Free,Teen,Entertainment,4.4 and up,33387,4.1,1000000,0
Nick,ENTERTAINMENT,25M,Free,Everyone 10+,Entertainment;Music & Video,4.4 and up,123279,4.2,10000000,0
VH1,ENTERTAINMENT,17M,Free,Teen,Entertainment,4.4 and up,27424,4.1,1000000,0
FOX NOW - On Demand & Live TV,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,4.4 and up,60841,3.9,5000000,0
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,29706,4,1000000,0
The CW,ENTERTAINMENT,21M,Free,Teen,Entertainment,4.4 and up,288150,4.4,5000000,0
BET NOW - Watch Shows,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,14807,4.2,1000000,0
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,5.0 and up,319692,4,10000000,0
HBO NOW: Stream TV & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,61201,3.9,10000000,0
Univision NOW - Live TV and On Demand,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,22998,4,1000000,0
SHOWTIME,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,12398,4.2,1000000,0
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,35928,4,1000000,0
SeriesGuide – Show & Movie Manager,ENTERTAINMENT,4.4M,Free,Mature 17+,Entertainment,4.0.3 and up,64448,4.3,1000000,0
Comedy Central,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,22378,3.9,1000000,0
IMDb Movies & TV,ENTERTAINMENT,12M,Free,Teen,Entertainment,Varies with device,501498,4.2,100000000,0
Netflix,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,5456599,4.4,100000000,0
Tubi TV - Free Movies & TV,ENTERTAINMENT,11M,Free,Teen,Entertainment,4.1 and up,296829,4.3,10000000,0
Crunchyroll - Everything Anime,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,310095,3.7,10000000,0
STARZ,ENTERTAINMENT,Varies with device,Free,Mature 17+,Entertainment,Varies with device,88185,4.3,10000000,0
Crackle - Free TV & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,388089,3.7,10000000,0
CBS - Full Episodes & Live TV,ENTERTAINMENT,12M,Free,Teen,Entertainment,4.1 and up,92058,3.8,10000000,0
Nick,ENTERTAINMENT,25M,Free,Everyone 10+,Entertainment;Music & Video,4.4 and up,123279,4.2,10000000,0
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,5.0 and up,319691,4,10000000,0
FOX NOW - On Demand & Live TV,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,4.4 and up,60841,3.9,5000000,0
The CW,ENTERTAINMENT,21M,Free,Teen,Entertainment,4.4 and up,288150,4.4,5000000,0
CW Seed,ENTERTAINMENT,13M,Free,Teen,Entertainment,4.4 and up,16372,4.5,500000,0
The NBC App - Watch Live TV and Full Episodes,ENTERTAINMENT,17M,Free,Teen,Entertainment,4.1 and up,58028,4.1,5000000,0
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,20M,Free,Teen,Entertainment,4.4 and up,33387,4.1,1000000,0
HBO NOW: Stream TV & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,61201,3.9,10000000,0
WWE,ENTERTAINMENT,20M,Free,Teen,Entertainment,4.1 and up,736864,4.5,10000000,0
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,29706,4,1000000,0
VH1,ENTERTAINMENT,17M,Free,Teen,Entertainment,4.4 and up,27424,4.1,1000000,0
Universal Kids,ENTERTAINMENT,21M,Free,Everyone,Entertainment;Music & Video,4.4 and up,1968,3.6,500000,0
MTV,ENTERTAINMENT,15M,Free,Teen,Entertainment,4.4 and up,35279,3.8,1000000,0
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,35931,4,1000000,0
BET NOW - Watch Shows,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,14807,4.2,1000000,0
LEGO® TV,ENTERTAINMENT,7.2M,Free,Everyone 10+,Entertainment;Music & Video,5.0 and up,17247,3.7,1000000,0
HBO GO: Stream with TV Package,ENTERTAINMENT,32M,Free,Teen,Entertainment,4.1 and up,87723,3.8,10000000,0
Showtime Anytime,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,18523,3.7,1000000,0
PlayKids - Educational cartoons and games for kids,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment;Music & Video,Varies with device,182103,4.1,10000000,0
FOX,ENTERTAINMENT,44M,Free,Mature 17+,Entertainment,4.4 and up,197774,3.7,10000000,0
Telemundo Now,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,8674,3.9,1000000,0
Netflix,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,5456708,4.4,100000000,0
Tubi TV - Free Movies & TV,ENTERTAINMENT,11M,Free,Teen,Entertainment,4.1 and up,296771,4.3,10000000,0
Vudu Movies & TV,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,58082,3.9,10000000,0
Crackle - Free TV & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,388089,3.7,10000000,0
Crunchyroll - Everything Anime,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,310066,3.7,10000000,0
Nick,ENTERTAINMENT,25M,Free,Everyone 10+,Entertainment;Music & Video,4.4 and up,123279,4.2,10000000,0
STARZ,ENTERTAINMENT,Varies with device,Free,Mature 17+,Entertainment,Varies with device,88185,4.3,10000000,0
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,5.0 and up,319691,4,10000000,0
Food Network,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,7813,4.1,500000,0
FOX NOW - On Demand & Live TV,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,4.4 and up,60841,3.9,5000000,0
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,16M,Free,Everyone,Entertainment,4.4 and up,653008,4.5,10000000,0
Yidio: TV Show & Movie Guide,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,27424,3.9,1000000,0
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,20M,Free,Teen,Entertainment,4.4 and up,33387,4.1,1000000,0
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,407719,4.3,10000000,0
The CW,ENTERTAINMENT,21M,Free,Teen,Entertainment,4.4 and up,288150,4.4,5000000,0
Redbox,ENTERTAINMENT,30M,Free,Everyone,Entertainment,5.0 and up,115033,4.1,10000000,0
Univision NOW - Live TV and On Demand,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,22997,4,1000000,0
HBO NOW: Stream TV & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,61201,3.9,10000000,0
Tribeca Shortlist - Handpicked Movies,ENTERTAINMENT,57M,Free,Teen,Entertainment,4.3 and up,801,3.9,100000,0
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,29706,4,1000000,0
VH1,ENTERTAINMENT,17M,Free,Teen,Entertainment,4.4 and up,27424,4.1,1000000,0
SHOWTIME,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,12398,4.2,1000000,0
MTV,ENTERTAINMENT,15M,Free,Teen,Entertainment,4.4 and up,35279,3.8,1000000,0
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,35931,4,1000000,0
Comedy Central,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,22378,3.9,1000000,0
BET NOW - Watch Shows,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,14807,4.2,1000000,0
FOX,ENTERTAINMENT,44M,Free,Mature 17+,Entertainment,4.4 and up,197774,3.7,10000000,0
Telemundo Now,ENTERTAINMENT,19M,Free,Teen,Entertainment,4.4 and up,8674,3.9,1000000,0
Nick Jr. - Shows & Games,ENTERTAINMENT,35M,Free,Everyone,Entertainment;Music & Video,4.4 and up,8968,4.2,1000000,0
Sticker Market: Emoji keyboard,ENTERTAINMENT,44M,Free,Teen,Entertainment,4.2 and up,303,4.3,10000,0
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,407719,4.3,10000000,0
Kidjo TV Kids Have Fun & Learn,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment;Music & Video,Varies with device,732,4.6,100000,0
Laugh Out Loud by Kevin Hart,ENTERTAINMENT,20M,Free,Teen,Entertainment,6.0 and up,1856,4.3,100000,0
ColorFul - Adult Coloring Book,ENTERTAINMENT,19M,Free,Everyone,Entertainment,4.0.3 and up,50725,4.6,5000000,0
Nick,ENTERTAINMENT,25M,Free,Everyone 10+,Entertainment;Music & Video,4.4 and up,123279,4.2,10000000,0
Fandango Movies - Times + Tickets,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,243747,4.6,10000000,0
Hamilton — The Official App,ENTERTAINMENT,43M,Free,Everyone,Entertainment,5.0 and up,1575,4.5,100000,0
My Talking Pet,ENTERTAINMENT,Varies with device,Paid,Everyone,Entertainment,Varies with device,6238,4.6,100000,4.99
Funny Pics,ENTERTAINMENT,Varies with device,Free,Teen,Entertainment,Varies with device,9941,3.9,1000000,0
Funny Quotes Free,ENTERTAINMENT,3.6M,Free,Teen,Entertainment,4.0 and up,23666,4.2,1000000,0
LOL Pics (Funny Pictures),ENTERTAINMENT,7.7M,Free,Teen,Entertainment,2.3.3 and up,67554,4.4,1000000,0
Meme Creator,ENTERTAINMENT,44M,Free,Mature 17+,Entertainment,2.3 and up,38769,4.2,1000000,0
"Imgur: Find funny GIFs, memes & watch viral videos",ENTERTAINMENT,12M,Free,Teen,Entertainment,5.0 and up,160164,4.3,10000000,0
Meme Generator,ENTERTAINMENT,53M,Paid,Mature 17+,Entertainment,4.1 and up,3771,4.6,100000,2.99
SketchBook - draw and paint,ENTERTAINMENT,77M,Free,Everyone,Entertainment,4.0.3 and up,256664,4.3,10000000,0
Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,Varies with device,Free,Everyone,Entertainment,Varies with device,787177,4.5,10000000,0
All Events in City,EVENTS,9.5M,Free,Everyone,Events,4.0.3 and up,3782,4,100000,0
Ticketmaster Event Tickets,EVENTS,36M,Free,Everyone,Events,Varies with device,40113,4,5000000,0
Reminder,EVENTS,6.3M,Free,Everyone,Events,4.1 and up,7074,4.5,500000,0
Birdays - Birthday reminder,EVENTS,5.9M,Free,Everyone,Events,4.1 and up,2153,4.5,50000,0
"StubHub - Tickets to Sports, Concerts & Events",EVENTS,Varies with device,Free,Everyone,Events,Varies with device,26089,4,5000000,0
Fever,EVENTS,12M,Free,Teen,Events,4.1 and up,20611,4,1000000,0
DroidAdmin for Android - Advice,EVENTS,2.8M,Free,Everyone,Events,4.0 and up,811,4.2,10000,0
"SeatGeek – Tickets to Sports, Concerts, Broadway",EVENTS,26M,Free,Everyone,Events,5.0 and up,15558,4.4,1000000,0
my4D,EVENTS,8.7M,Free,Everyone,Events,4.2 and up,573,4.6,100000,0
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,16M,Free,Everyone,Events,4.0 and up,37,NaN,10000,0
Vivid Seats – Event Tickets,EVENTS,53M,Free,Everyone,Events,5.0 and up,8232,4.6,1000000,0
Name days,EVENTS,Varies with device,Free,Everyone,Events,Varies with device,3089,4.1,100000,0
LBB - Find New & Unique Things To Do Around You,EVENTS,14M,Free,Everyone,Events,4.2 and up,3874,4.6,100000,0
Happy Birthday Songs Offline,EVENTS,8.9M,Free,Everyone,Events,4.1 and up,464,4.4,100000,0
Series Valley of the Wolves full of part,EVENTS,11M,Free,Everyone,Events,4.0 and up,731,4.6,50000,0
Mummatikabalkuragi,EVENTS,334k,Free,Teen,Events,4.0 and up,69,4.9,1000,0
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,24M,Free,Everyone,Events,5.0 and up,8800,4.5,1000000,0
"PTI Flex Maker, Photo Frame Editor & Songs 2018",EVENTS,13M,Free,Everyone,Events,4.2 and up,99,4.6,10000,0
Wipe out,EVENTS,Varies with device,Free,Teen,Events,Varies with device,30,4.7,500,0
Birthdays & Other Events,EVENTS,2.8M,Free,Everyone,Events,2.3.3 and up,456,4.3,50000,0
Sarajevo Film Festival - Official,EVENTS,9.7M,Free,Everyone 10+,Events,4.4W and up,6,NaN,100,0
Summer Madness,EVENTS,1.4M,Free,Everyone,Events,4.0 and up,4,NaN,100,0
Events High - Meet Your City!,EVENTS,Varies with device,Free,Everyone 10+,Events,Varies with device,3200,4.2,100000,0
vide-greniers.org,EVENTS,3.5M,Free,Everyone,Events,2.3.3 and up,5839,4.3,100000,0
SUMMER SONIC app,EVENTS,61M,Free,Everyone,Events,4.4 and up,4,5,500,0
Quake & Volcanoes: 3D Globe of Volcanic Eruptions,EVENTS,6.0M,Free,Everyone,Events,4.1 and up,663,4.4,100000,0
Prosperity,EVENTS,2.3M,Free,Everyone,Events,2.0 and up,16,5,100,0
Picktrainer: India's largest photo contest app,EVENTS,9.0M,Free,Everyone,Events,4.1 and up,1065,4.5,100000,0
AAS-IN-ASIA 2018,EVENTS,11M,Free,Everyone,Events,4.1 and up,3,NaN,100,0
Moot Peru 2018,EVENTS,27M,Free,Everyone,Events,3.0 and up,13,NaN,1000,0
FM News,EVENTS,3.6M,Free,Everyone,Events,4.2 and up,46,NaN,5000,0
Goldstar: Live Event Tickets,EVENTS,Varies with device,Free,Teen,Events,Varies with device,1953,4.5,100000,0
Emmabodafestivalen,EVENTS,29M,Free,Everyone 10+,Events,4.2 and up,12,4.8,1000,0
KudaGo - things to do in NY,EVENTS,4.4M,Free,Everyone,Events,4.0 and up,4298,4.4,100000,0
Mindvalley U Tallinn 2018,EVENTS,21M,Free,Everyone,Events,4.4 and up,1,5,100,0
Rockmaraton Info,EVENTS,13M,Free,Everyone,Events,4.4 and up,49,NaN,1000,0
Freitas Auctioneer Official,EVENTS,27M,Free,Everyone,Events,4.0.3 and up,100,3.7,50000,0
mobLee Events,EVENTS,11M,Free,Everyone,Events,4.1 and up,11,NaN,5000,0
"Xceed - Clubs, DJs, Festivals & Tickets",EVENTS,24M,Free,Everyone,Events,5.0 and up,399,4.1,100000,0
AMM Events & CPD,EVENTS,6.1M,Free,Everyone,Events,4.3 and up,5,NaN,100,0
Arab Halls - For Wedding & Events,EVENTS,6.3M,Free,Everyone,Events,4.1 and up,28,4.8,1000,0
MeAuDote - An act of love that saves a life,EVENTS,23M,Free,Everyone,Events,4.1 and up,250,NaN,1000,0
TCF National Conference,EVENTS,34M,Free,Everyone,Events,4.1 and up,1,NaN,100,0
Endurance Lifestyle,EVENTS,3.8M,Free,Teen,Events,4.2 and up,7,4.6,500,0
K PLUS,FINANCE,Varies with device,Free,Everyone,Finance,4.2 and up,124424,4.4,10000000,0
ING Banking,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,39041,4.4,1000000,0
Citibanamex Movil,FINANCE,42M,Free,Everyone,Finance,5.0 and up,52306,3.6,5000000,0
The postal bank,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,36718,3.7,5000000,0
KTB Netbank,FINANCE,19M,Free,Everyone,Finance,4.2 and up,42644,3.8,5000000,0
Mobile Bancomer,FINANCE,70M,Free,Everyone,Finance,4.0.3 and up,278082,4.2,10000000,0
Nedbank Money,FINANCE,32M,Free,Everyone,Finance,4.2 and up,6076,4.2,500000,0
SCB EASY,FINANCE,93M,Free,Everyone,Finance,4.1 and up,112656,4.2,5000000,0
CASHIER,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,335738,3.3,10000000,0
Rabo Banking,FINANCE,Varies with device,Free,Everyone,Finance,4.0 and up,31906,3.4,1000000,0
Capitec Remote Banking,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,20672,4.3,1000000,0
Itau bank,FINANCE,40M,Free,Everyone,Finance,4.2 and up,957973,4.2,10000000,0
Nubank,FINANCE,24M,Free,Everyone,Finance,Varies with device,130582,4.7,5000000,0
The Societe Generale App,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,31218,4.1,1000000,0
IKO,FINANCE,20M,Free,Everyone,Finance,4.1 and up,167168,4.7,1000000,0
Cash App,FINANCE,15M,Free,Everyone,Finance,5.0 and up,34428,4,10000000,0
Standard Bank / Stanbic Bank,FINANCE,28M,Free,Everyone,Finance,4.0.3 and up,15247,3.6,1000000,0
Bualuang mBanking,FINANCE,10M,Free,Everyone,Finance,4.0.3 and up,48445,4,5000000,0
Intesa Sanpaolo Mobile,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,35518,3.6,1000000,0
UBA Mobile Banking,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,12185,4.3,1000000,0
BBVA Spain,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,36746,4.2,5000000,0
MyMo by GSB,FINANCE,14M,Free,Everyone,Finance,4.0.3 and up,21996,4.2,1000000,0
VTB-Online,FINANCE,Varies with device,Free,Everyone,Finance,4.0.3 and up,138371,4.1,5000000,0
Ecobank Mobile Banking,FINANCE,42M,Free,Everyone,Finance,4.2 and up,12073,4,1000000,0
Banorte Movil,FINANCE,65M,Free,Everyone,Finance,4.4 and up,111632,4.1,1000000,0
Wells Fargo Mobile,FINANCE,37M,Free,Everyone,Finance,5.0 and up,250706,4.4,10000000,0
Credit Karma,FINANCE,Varies with device,Free,Everyone,Finance,Varies with device,706301,4.7,10000000,0
BZWBK24 mobile,FINANCE,39M,Free,Everyone,Finance,4.1 and up,64959,4.5,1000000,0
PayPal,FINANCE,47M,Free,Everyone,Finance,4.4 and up,659741,4.3,50000000,0
Capital One® Mobile,FINANCE,79M,Free,Everyone,Finance,5.0 and up,510392,4.6,10000000,0
