index,title,channel_title,publishTime,published_day_of_week,publish_country,duration_seconds,views,likes,dislikes,comment,impression
201,Cards Against Humanity Saves America,Cards Against Humanity,7/25/2018,Tuesday,IN,1113,295217,4854,1439,1267,621726.95
202,Slow Mo Katana Sword - 4K - The Slow Mo Guys,The Slow Mo Guys,10/13/2015,Tuesday,IN,129,1525400,63995,896,4697,6041499.24
203,Selling My iPhone X To a Machine at Walmart,TechSmartt,5/16/2023,Tuesday,IN,175,1836419,28647,17815,7860,7249447.7
204,How I Trained My Cats,JunsKitchen,2/22/2023,Tuesday,IN,302,977285,87615,391,5575,2469599.86
205,Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Attaullah Malik,5/11/2018,Tuesday,IN,903,390964,3687,1273,1224,1026827.796
206,Jimmy Fallon Pays Tribute to His Mother Gloria,The Tonight Show Starring Jimmy Fallon,8/2/2015,Tuesday,IN,138,1611093,58474,837,3294,5827001.4
207,Lie Detector | Anwar Jibawi,Anwar Jibawi,8/10/2015,Tuesday,US,261,983365,60983,578,3837,2487914
208,Mean Tweets Ã¢â‚¬â€œ Jimmy Kimmel Edition,Jimmy Kimmel Live,3/25/2022,Tuesday,US,363,2765121,35529,1705,2388,5244328.99
209,The New SpotMini,BostonDynamics,5/14/2023,Monday,IN,142,3701763,56561,2495,11608,12493450.8
210,Honest Trailers - Batman Forever,Screen Junkies,8/5/2015,Tuesday,US,199,829132,25109,316,3428,2106823.95
211,Jason Momoa Shows Off His Aquaman Quindent | The Graham Norton Show,The Graham Norton Show,4/13/2023,Wednesday,US,195,391049,5939,106,385,754450.803
212,Watch live: Sessions testifies to the House Judiciary Committee,Washington Post,8/23/2015,Thursday,US,332,137003,580,262,343,319490.996
213,Spilling Tea About Each Other!!,Dolan Twins,3/16/2023,Wednesday,IN,250,891912,122347,455,7459,2085290.2
214,Is the Morphe 3502 Palette Worth the Hype? | Jackie Aina,Jackie Aina,9/22/2018,Thursday,IN,712,175539,17130,264,1747,619758.049
215,American Crime Story Season 2: The Assassination of Gianni Versace Trailer (HD),TV Promos,8/20/2015,Wednesday,IN,256,14565,478,13,67,31482.2475
216,The Making of a Song: Ã¢â‚¬Å“DelicateÃ¢â‚¬Â Ã¢â‚¬â€œ watch more on Taylor Swift NOW,Taylor Swift,2/22/2017,Wednesday,US,2009,125645,16754,65,1373,318887.064
217,WE WANT TO TALK ABOUT OUR MARRIAGE,CaseyNeistat,3/21/2017,Wednesday,IN,36001,2188590,88099,7150,24225,7193457.48
218,venting online about a hard part in a video game,ProZD,10/26/2017,Wednesday,IN,207,394709,25188,281,1345,1508419.52
219,10 LIFE HACKS YOU NEED TO KNOW with TEENS (REACT),REACT,1/12/2022,Wednesday,IN,126,863116,20518,1030,4272,2111526.76
220,Stephen A. Smith: Jay Cutler is a 'disease' | First Take | ESPN,ESPN,6/28/2015,Tuesday,US,233,200235,1197,108,627,577077.27
221,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,8/1/2015,Tuesday,US,151,4632016,131784,9892,18284,8554406.76
222,Taylor Swift - Reputation ALBUM REVIEW,theneedledrop,2/1/2016,Wednesday,IN,12581,122426,6310,298,1624,303371.6
223,2 Weeks with iPhone X,iJustine,6/17/2017,Thursday,IN,36011,758998,19138,2272,2873,2254224.6
224,Japanese Food Tour with Frank Pinello and Sakura Yagi | Sean in the Wild,First We Feast,1/9/2017,Wednesday,US,85686,145100,5198,74,657,336777.1
225,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,20th Century Fox,11/25/2018,Thursday,US,42520,2671756,12699,505,1010,8269619.68
226,DISNEY SENT MICKEY MOUSE TO MY HOUSE!,Brian Hull,8/11/2015,Wednesday,IN,184,52743,4553,33,550,150117.1
227,Making Sandals with Zip-Ties and a Laser,William Osman,1/21/2022,Wednesday,US,52,121681,6095,61,731,330607.31
228,Does Gwen Stefani Know If Blake Shelton Is People's Sexiest Man Alive? | Access Hollywood,Access Hollywood,2/28/2015,Wednesday,US,248,11404,62,26,20,31013.178
229,American Things Europeans Find Weird,The Infographics Show,2/18/2017,Wednesday,IN,84878,419965,9805,1337,5457,1394703.9
230,Carey Mulligan Doesn't Tell People She's an Actress,Late Night with Seth Meyers,2/1/2023,Wednesday,IN,126,137749,1145,61,131,407833.506
231,Nickelback Lyrics: Real or Fake?,Good Mythical Morning,7/25/2015,Tuesday,IN,236,772235,15301,1229,3328,1751429.4
232,How does your body know you're full? - Hilary Coller,TED-Ed,8/16/2022,Tuesday,IN,149,297147,10410,110,665,926444.969
233,funfetti is extremely fun,emma chamberlain,9/21/2022,Tuesday,IN,215,126438,12229,86,1865,411252.211
234,Marshmello - Blocks (Official Music Video),marshmello,3/10/2022,Tuesday,IN,273,2285136,180284,3399,11700,6765373.17
235,A Study of So Bad It's Good Movies,Now You See It,5/24/2023,Tuesday,IN,207,206319,11131,209,553,760285.582
236,Lindsey andÃ¢â‚¬â€¹ MarkÃ¢â‚¬â„¢s - Iconic Dance - Dancing with the Stars,Dancing With The Stars,11/17/2022,Tuesday,IN,100,60564,975,66,106,185471.22
237,How Can You Control Your Dreams?,Life Noggin,8/20/2023,Tuesday,US,242,373457,16433,194,5220,914446.842
238,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",Rudy Mancuso,6/2/2023,Tuesday,US,77,4326684,167696,6730,9265,10509083.11
239,Colin Farrell Dishes on Rendezvous with Girlfriend,TheEllenShow,4/11/2015,Tuesday,IN,257,137860,1950,64,136,437360.85
240,Amazon CEO Jeff Bezos and brother Mark give a rare interview about growing up and secrets to success,Summit,4/11/2022,Monday,US,154,4009,61,6,14,11084.0832
241,Taylor Swift Instagram Story - Target 11/14/17,reputationswift,4/26/2015,Tuesday,IN,216,3006,75,4,10,8421.6096
242,Why the rise of the robots wonÃ¢â‚¬â„¢t mean the end of work,Vox,6/21/2015,Tuesday,IN,134,635985,20721,2417,4111,2282804.97
243,Using Other People's Showers,Gus Johnson,5/29/2015,Tuesday,US,292,130893,8177,220,349,230319.344
244,Willie Reed and Joel Embiid FightÃ¯Â¼ÂEmbiid saying HE CANT FUCKIN GUARD ME!,DunkFest,5/15/2015,Monday,IN,109,46954,87,18,28,127001.1792
245,Nickelback - The Betrayal Act III [Official Video],Nickelback,5/31/2015,Tuesday,US,304,208155,11162,569,954,587642.435
